Dispersal,Hunting,Forest,Number
abiotic,hunted,A,8
other,hunted,A,11
primates,hunted,A,2
abiotic,hunted,A,17
other,hunted,A,2
primates,hunted,A,0
abiotic,hunted,A,4
other,hunted,A,1
primates,hunted,A,1
abiotic,hunted,A,14
other,hunted,A,7
primates,hunted,A,1
abiotic,protected,A,0
other,protected,A,2
primates,protected,A,5
abiotic,protected,A,1
other,protected,A,0
primates,protected,A,9
abiotic,protected,A,0
other,protected,A,0
primates,protected,A,5
abiotic,protected,A,1
other,protected,A,1
primates,protected,A,8
abiotic,hunted,B,14
other,hunted,B,10
primates,hunted,B,2
abiotic,hunted,B,0
other,hunted,B,10
primates,hunted,B,3
abiotic,hunted,B,8
other,hunted,B,3
primates,hunted,B,4
abiotic,hunted,B,11
other,hunted,B,10
primates,hunted,B,7
abiotic,protected,B,1
other,protected,B,1
primates,protected,B,12
abiotic,protected,B,0
other,protected,B,0
primates,protected,B,7
abiotic,protected,B,0
other,protected,B,0
primates,protected,B,12
abiotic,protected,B,1
other,protected,B,0
primates,protected,B,5
