Sex,Treatment,cytokines
Male,Before,19.599388489864946
Male,After,22.84885399274266
Female,Before,16.040523312864327
Female,After,22.83343244926376
Female,Before,21.12689452727989
Female,After,24.502559632660848
Female,Before,20.247390324885448
Female,After,29.465812621499055
Female,Before,15.559391161517897
Female,After,24.017203497575785
Female,Before,18.016741925728336
Female,After,29.11134206597059
Female,Before,17.195796874500697
Female,After,21.999872110734568
Female,Before,17.589781513528965
Female,After,25.14332434286643
Male,Before,23.590737534091573
Male,After,27.417333264370125
Male,Before,14.455028446564718
Male,After,NA
Female,Before,18.364739110274655
Female,After,23.290739599017822
Male,Before,16.886652564734728
Male,After,NA
Male,Before,21.199127178751272
Male,After,23.908668461908206
Male,Before,20.125449418948747
Male,After,20.879323582219648
Female,Before,18.365458322314833
Female,After,25.50383879291691
Female,Before,22.24282301683892
Female,After,27.856957397441146
Male,Before,16.11254132611797
Male,After,20.667264189715077
Male,Before,16.438183292725924
Male,After,20.954087854366747
Female,Before,21.103837026077787
Female,After,30.599217497889995
Male,Before,21.18663974335261
Male,After,27.072597523006326
Male,Before,16.861455255405083
Male,After,16.488906996797226
Female,Before,25.566052034265688
Female,After,35.05726517114992
Female,Before,18.50148476655861
Female,After,26.476946283723564
Male,Before,26.15536563893996
Male,After,30.77904156903722
Female,Before,21.694813580440766
Female,After,29.675120428873264
Female,Before,24.500068420082773
Female,After,30.66069652739761
Male,Before,17.943085149225695
Male,After,23.144699168780537
Female,Before,23.635199788570397
Female,After,32.00766825795217
Female,Before,21.133098887828936
Female,After,26.340427082372706
Female,Before,20.392753409418553
Female,After,31.031488961368353
Male,Before,16.6669885262962
Male,After,21.581571579075966
Female,Before,16.09173874016994
Female,After,25.413172955937192
Female,Before,20.10978257923228
Female,After,28.267112186647267
Female,Before,21.84803428773872
Female,After,32.60899378165039
Female,Before,21.157279299176338
Female,After,28.874711581941618
Male,Before,21.694304966367046
Male,After,25.609571589062814
Male,Before,24.610755339958686
Male,After,27.433098147016537
Female,Before,17.703163695586515
Female,After,24.107815063755837
Male,Before,21.566143945438782
Male,After,25.38277703617611
Male,Before,20.433292476825663
Male,After,21.088917710804832
Female,Before,20.408906176123608
Female,After,24.994986418449816
Female,Before,19.7127017787412
Female,After,26.168010940888443
Male,Before,20.600737000240212
Male,After,NA
Male,Before,22.89117512633786
Male,After,27.48194863307209
Male,Before,24.860156775451987
Male,After,NA
Female,Before,23.787523547891535
Female,After,34.30307970118028
Male,Before,16.737039450954153
Male,After,20.562746666932966
Female,Before,22.986252264207547
Female,After,31.950447321003487
Female,Before,22.16498244672676
Female,After,26.74557530553942
Female,Before,24.016714499516453
Female,After,33.81535578463409
Male,Before,22.629915822154725
Male,After,28.001793265534157
Male,Before,27.623182626956655
Male,After,31.691668035731485
Female,Before,16.167905087118076
Female,After,25.381791116161285
Female,Before,18.36797553351509
Female,After,26.432152397129286
Female,Before,26.88303761349032
Female,After,34.81888153144787
Male,Before,18.142808420178294
Male,After,25.60709315069044
Female,Before,26.811129663042045
Female,After,32.33657408282295
Female,Before,19.659598117983716
Female,After,25.953370519861103
Female,Before,17.326627692393046
Female,After,20.26371167848228
Female,Before,16.851746435279935
Female,After,22.609709484353587
Male,Before,20.607883930518785
Male,After,22.480753842922628
Female,Before,20.928111757425064
Female,After,29.65885915295351
Female,Before,19.182594952764408
Female,After,25.729788693180083
Female,Before,26.854349045904605
Female,After,34.50494958325566
Female,Before,14.467724570730635
Female,After,25.701174733307447
Male,Before,18.226216940980937
Male,After,21.80886363578902
Female,Before,19.593998051424293
Female,After,29.88334991717607
Male,Before,16.205533187718494
Male,After,NA
Female,Before,21.40146358569509
Female,After,28.42270287027171
Female,Before,22.252927611876355
Female,After,30.199011303298544
Male,Before,13.182169073254986
Male,After,19.19706025433474
Female,Before,12.788033277707985
Female,After,21.834870550254593
Female,Before,15.489126649254834
Female,After,24.071781166555425
Female,Before,17.297041071084323
Female,After,26.045653784672236
Female,Before,18.998097788290863
Female,After,26.66950369291074
Male,Before,19.996244405252416
Male,After,20.24592165565038
Female,Before,18.709401574827854
Female,After,28.459809869232345
Male,Before,21.106930566571492
Male,After,NA
Female,Before,15.71900466355947
Female,After,23.21267363851753
Male,Before,18.7317272896163
Male,After,22.443086464820666
Female,Before,22.15330098180123
Female,After,30.628941667019394
Female,Before,23.090921554678598
Female,After,29.115268882268534
Male,Before,30.765046126507066
Male,After,38.444544660063265
Male,Before,13.178833281596278
Male,After,NA
Female,Before,21.34933862474732
Female,After,31.335207708775137
Male,Before,18.62645980258182
Male,After,19.854943716609874
Male,Before,22.495581767436295
Male,After,27.78119101655834
Female,Before,19.459885325776675
Female,After,NA
Male,Before,17.88995194964795
Male,After,22.96248462863584
Male,Before,17.34906521884946
Male,After,NA
Male,Before,23.994131800876232
Male,After,26.10553394071809
Female,Before,19.964649465073823
Female,After,30.860720118598284
Male,Before,21.03032417851696
Male,After,22.270466463325423
Female,Before,20.403226993291756
Female,After,28.109399436753353
Female,Before,19.006307206290884
Female,After,28.12410234037622
Female,Before,20.931595600316957
Female,After,29.54857974370946
Female,Before,23.872419457849993
Female,After,32.83824592409235
Female,Before,20.91670015706871
Female,After,28.22733788919752
Female,Before,27.572150941939825
Female,After,38.18696893365907
Male,Before,21.04108834923721
Male,After,NA
Female,Before,21.98684623278838
Female,After,34.7529100922114
Male,Before,17.453136387692062
Male,After,21.407558427826583
Male,Before,15.05415779585304
Male,After,21.34554254636042
Male,Before,19.945293842432264
Male,After,24.03013003150626
Female,Before,26.35210018359807
Female,After,31.496465185401945
Male,Before,16.909294139292626
Male,After,19.057158328656527
Male,Before,16.68159041887872
Male,After,20.27047563140025
Female,Before,19.06649032268955
Female,After,25.441923838382223
Male,Before,12.915846631906295
Male,After,13.230017060115625
Male,Before,29.910386069444016
Male,After,35.070168096176516
Female,Before,14.399931446384056
Female,After,21.463544386464037
Female,Before,19.19305615696803
Female,After,27.79193711753877
Female,Before,21.390080010520936
Female,After,26.04936902881866
Female,Before,17.553182074166656
Female,After,28.10272150338041
Male,Before,26.98700179010185
Male,After,27.55766541957625
Female,Before,26.971957755242116
Female,After,35.57913297235882
Female,Before,21.00076659973588
Female,After,30.25269007137509
Male,Before,29.72360307817229
Male,After,33.59670629034896
Female,Before,12.747194325562436
Female,After,21.741770820619323
Male,Before,18.88096200703963
Male,After,21.852051469623134
Female,Before,23.910779312906712
Female,After,30.477430846237127
Female,Before,21.31191011653795
Female,After,28.69796019530294
Female,Before,20.957590593999825
Female,After,26.595156291410387
Male,Before,19.400778135720742
Male,After,25.7470996223266
Male,Before,17.161355430279617
Male,After,NA
Male,Before,18.815911423082426
Male,After,22.6860353472642
Male,Before,23.699156026258002
Male,After,28.672392761338457
Female,Before,23.289400620452852
Female,After,31.189539433218464
Female,Before,18.985086619276764
Female,After,NA
Female,Before,25.1274015839448
Female,After,27.89956565080565
Female,Before,25.294497453528894
Female,After,33.00249016550464
Male,Before,20.139926738107338
Male,After,25.3005888222354
Male,Before,13.921181498948197
Male,After,NA
Male,Before,16.3956832239196
Male,After,17.76827180027771
Male,Before,13.36307347550375
Male,After,18.159881946685456
Male,Before,17.43282286489204
Male,After,21.528429664677397
Male,Before,17.902489023923103
Male,After,22.71271446668992
Female,Before,19.895941455388392
Female,After,29.062993931929093
Male,Before,22.522306443697783
Male,After,28.56755926674996
Female,Before,20.927450551204267
Female,After,NA
Male,Before,14.800227365613605
Male,After,18.033948816345955
Female,Before,21.4486643166784
Female,After,27.90373384326816
Female,Before,17.056261867463654
Female,After,23.585393545465962
Female,Before,20.643327691889592
Female,After,26.47355035186343
Female,Before,13.403444905989966
Female,After,24.786300564341104
Male,Before,12.313422133894527
Male,After,17.87178388002927
Female,Before,22.90443256098489
Female,After,31.826932749473492
Male,Before,18.396283027107117
Male,After,23.573429920566618
Male,Before,23.23544111714134
Male,After,NA
Female,Before,22.457957267807256
Female,After,27.181709460402395
Male,Before,19.5564300437242
Male,After,NA
Male,Before,20.88706840963438
Male,After,NA
Male,Before,16.986488001556587
Male,After,18.499688284896585
Male,Before,23.55244711660456
Male,After,26.38817341302323
Male,Before,16.097449081269225
Male,After,21.739727836616673
Male,Before,17.011878924406187
Male,After,15.693482724956809
Male,Before,24.108429726215977
Male,After,27.09305418394475
Male,Before,16.557372634919815
Male,After,19.619905599627057
Female,Before,17.027040468412764
Female,After,26.39982084937084
Female,Before,17.097759770609102
Female,After,26.261956845942358
Male,Before,22.667692485077694
Male,After,25.8841404011599
Male,Before,20.520532935992232
Male,After,24.48758985750128
Female,Before,19.087333784992747
Female,After,27.169871460991075
Female,Before,22.0385110933339
Female,After,NA
Female,Before,19.61520013697235
Female,After,29.23517073989117
Male,Before,23.33999394643304
Male,After,26.6212080746389
Female,Before,19.082618839655307
Female,After,26.768197106747976
Male,Before,14.21592163563573
Male,After,NA
Male,Before,24.27776911031865
Male,After,26.67700267650324
Male,Before,23.2278814092879
Male,After,NA
Female,Before,18.918091326278624
Female,After,26.15426980833993
Male,Before,20.952366469998825
Male,After,NA
Female,Before,15.812332468931311
Female,After,25.67006404416177
Male,Before,25.071946118245037
Male,After,31.258119345578883
Male,Before,21.942082773046362
Male,After,21.906971108318235
Female,Before,20.10799843998004
